Model,Precision,Recall,F1,ROC-AUC
Logistic Regression,0.8848920863309353,0.917910447761194,0.9010989010989011,0.942526175094676
Random Forest,0.9758064516129032,0.9029850746268657,0.937984496124031,0.9490421029182445
Decision Tree,0.8805970149253731,0.8805970149253731,0.8805970149253731,0.8805970149253731
XGBoost,0.983739837398374,0.9029850746268657,0.9416342412451362,0.9504900868790377
Stacked Ensemble,0.9606299212598425,0.9104477611940298,0.9348659003831418,0.9465916685230563
